案发时间,案件类型,区域分布,点名次数,纬度,经度
201404,扒窃,东城区东交民巷,1,39.902588,116.409065
201404,扒窃,东城区东直门,1,39.941296,116.42647
201404,扒窃,丰台区芳城,1,39.86851,116.432816
201404,扒窃,丰台区丰台镇,2,39.870472,116.28041
201404,扒窃,丰台区石榴园,2,39.84696,116.41445
201404,扒窃,海淀区大钟寺,2,39.9641,116.34217
201404,扒窃,海淀区上地,1,40.030952,116.319824
201404,扒窃,海淀区万寿寺,2,39.951084,116.312355
201404,扒窃,石景山区模石口,2,39.906612,116.222984
201404,扒窃,石景山区苹果园,2,39.90807,116.20131
201404,扒窃,石景山区新古城,1,39.906612,116.222984
201404,扒窃,西城区西单大街,4,39.914146,116.37316
201404,盗窃机动车,朝阳区十八里店,2,39.84223,116.484985
201404,盗窃机动车,东城区北新桥,1,39.94087,116.41682
201404,盗窃机动车,丰台区樊家村,1,39.845154,116.31192
201404,盗窃机动车,丰台区芳城,1,39.86851,116.432816
201404,盗窃机动车,海淀区北太平庄,1,39.95355,116.36396
201404,盗窃机动车,海淀区恩济庄,1,39.9275,116.28275
201404,盗窃机动车,石景山区鲁谷,1,39.903286,116.237625
201404,盗窃机动车,西城区月坛,1,39.915623,116.35329
201404,拎包盗窃,朝阳区王四营,1,39.874344,116.53131
201404,拎包盗窃,丰台区玉泉营,1,39.846184,116.350975
201404,拎包盗窃,海淀区东升,1,39.9953,116.3344
201404,拎包盗窃,西城区西单大街,2,39.914146,116.37316
201404,抢劫/抢夺,朝阳区劲松,1,39.884216,116.458916
201404,抢劫/抢夺,丰台区成寿寺,1,39.85079,116.44108
201404,抢劫/抢夺,西城区阜外,1,39.923733,116.34773
201404,撬砸汽车,朝阳区大屯,1,39.999626,116.450645
201404,撬砸汽车,朝阳区南皋,1,40.004234,116.52377
201404,撬砸汽车,朝阳区南磨房,1,39.883575,116.478
201404,撬砸汽车,朝阳区十八里店,2,39.84223,116.484985
201404,撬砸汽车,东城区天坛,1,39.89247,116.44387
201404,撬砸汽车,东城区永外,1,39.86261,116.396545
201404,撬砸汽车,丰台区芳城,1,39.86851,116.432816
201404,撬砸汽车,丰台区卢沟桥,1,39.850163,116.22075
201404,撬砸汽车,丰台区马家堡,1,39.852848,116.37915
201404,撬砸汽车,丰台区玉泉营,1,39.846184,116.350975
201404,撬砸汽车,丰台区岳各庄,1,39.881096,116.273705
201404,撬砸汽车,海淀区大钟寺,1,39.9641,116.34217
201404,撬砸汽车,海淀区恩济庄,1,39.9275,116.28275
201404,撬砸汽车,海淀区四季青,1,39.953846,116.27644
201404,撬砸汽车,海淀区田村,1,39.93033,116.244995
201404,撬砸汽车,海淀区万寿寺,1,39.951084,116.312355
201404,撬砸汽车,石景山区苹果园,1,39.90807,116.20131
201404,撬砸汽车,石景山区新古城,1,39.906612,116.222984
201404,撬砸汽车,西城区福绥境,1,39.927425,116.3606
201404,撬砸汽车,西城区天桥,1,39.885284,116.39666
201404,撬砸汽车,西城区月坛,1,39.915623,116.35329
201404,入室盗窃,朝阳区大屯,1,39.999626,116.450645
201404,入室盗窃,朝阳区劲松,1,39.884216,116.458916
201404,入室盗窃,朝阳区来广营,1,40.024036,116.46376
201404,入室盗窃,朝阳区潘家园,1,39.87745,116.44892
201404,入室盗窃,朝阳区小武基,1,39.86038,116.48931
201404,入室盗窃,东城区北新桥,4,39.94087,116.41682
201404,入室盗窃,东城区永外,1,39.86261,116.396545
201404,入室盗窃,丰台区大红门,1,39.83914,116.40512
201404,入室盗窃,丰台区石榴园,1,39.84696,116.41445
201404,入室盗窃,丰台区右安门,1,39.860855,116.36552
201404,入室盗窃,丰台区岳各庄,2,39.881096,116.273705
201404,入室盗窃,海淀区曙光,1,39.942467,116.29124
201404,入室盗窃,海淀区四季青,1,39.953846,116.27644
201404,入室盗窃,海淀区田村,2,39.93033,116.244995
201404,入室盗窃,海淀区万寿寺,1,39.951084,116.312355
201404,入室盗窃,石景山区八角,1,39.91396,116.203415
201404,入室盗窃,石景山区鲁谷,2,39.903286,116.237625
201404,入室盗窃,石景山区模石口,1,39.906612,116.222984
201404,入室盗窃,石景山区苹果园,1,39.90807,116.20131
201404,入室盗窃,西城区福绥境,2,39.927425,116.3606
201404,入室盗窃,西城区广内,2,39.888905,116.359375
201404,诈骗,朝阳区建国门外,1,39.908543,116.449425
201404,诈骗,朝阳区南磨房,1,39.883575,116.478
201404,诈骗,朝阳区十八里店,2,39.84223,116.484985
201404,诈骗,朝阳区双井,1,39.89403,116.46152
201404,诈骗,东城区北新桥,2,39.94087,116.41682
